time,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
0.0,-4.376474382407018,-92.21682027023317,89.9402674989065,55.09939055982472,0.0017248340730163765,-1.841855882744527e-06
0.0227200984954834,-4.3396425636363345,-92.12363875845996,89.87738074673885,55.04371469107201,0.00353570706795441,-7.606888150270514e-06
0.05207991600036621,-4.297068848688752,-92.0038946070669,89.78991031127951,54.971789050515795,0.005044903357775304,-1.4873162534080243e-05
0.0774381160736084,-4.252129245172582,-91.87347450806139,89.68999937630184,54.89264054522216,0.006287854547836442,-2.2382372819495247e-05
0.10444402694702148,-4.206375352009147,-91.73908448908124,89.58380512702983,54.81035252178252,0.007311820102439752,-2.9508086643597515e-05
0.13326668739318848,-4.1605297716417375,-91.60348629509254,89.47447703456476,54.726803896312624,0.008153647135380792,-3.596598600971293e-05
0.1616973876953125,-4.114905402831433,-91.46779454342571,89.3636540812738,54.64284823256488,0.008844679754848272,-4.165693231895709e-05
0.19112920761108398,-4.069656041472606,-91.33241525245579,89.25217026088269,54.5588983022931,0.0094104198179843,-4.657817000079428e-05
0.34406399726867676,-4.024821950815642,-91.19750392806812,89.1404701154849,54.475137249966885,0.009872290136441949,-5.0775765934512464e-05
0.3870701789855957,-3.980437686499152,-91.06312377384931,89.02881083291054,54.39167196876345,0.010245703388058984,-5.4313791170620974e-05
0.4122474193572998,-3.936532313783127,-90.92928375058703,88.9173054209351,54.308522959336905,0.010544105643383936,-5.726826881980593e-05
0.4380207061767578,-3.89309242632745,-90.79600149695314,88.8060174698175,54.22571825541204,0.010775751195401402,-5.971253224207798e-05
0.4608957767486572,-3.8501263582060727,-90.66324142643472,88.69499586118373,54.14325169301677,0.010950261519240969,-6.171243446386493e-05
0.48546409606933594,-3.807611117747298,-90.5310058396911,88.58425365253717,54.06113134170259,0.011075978406235264,-6.333114107686283e-05
0.5125558376312256,-3.7655707654901422,-90.3992851673396,88.4737929204986,53.97937026662345,0.011160980007075109,-6.462412431979434e-05
0.5407476425170898,-3.723987084652277,-90.26807661573434,88.36363340566956,53.897952357262085,0.011211722337044613,-6.564042572745074e-05
0.566626787185669,-3.6828530170564973,-90.13739106633851,88.25374530638797,53.81686676813371,0.01123116226999224,-6.642801256210054e-05
0.5934581756591797,-3.6421347769289625,-90.00721936800703,88.14412697896772,53.7361114002324,0.011224117901237469,-6.70239529646546e-05
0.6172761917114258,-3.601849145327037,-89.87753173899544,88.03478969191013,53.65566242484068,0.011193633375516685,-6.745914678652082e-05
0.6421630382537842,-3.562012663678251,-89.74831684165446,87.92571899067207,53.57553943278719,0.011142721118564335,-6.776131115104596e-05
